yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender,id
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,65,Once a year,Female,279
No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,64,Never,Male,280
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,20,Once a week,Male,281
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+2,29,Once a month,Female,282
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,45,Once a month,Female,283
Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,0,31,Once a year,Female,284
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,41,Once a week,Female,285
No,No,No,Yes,No,Yes,No,No,Yes,No,No,I hate it!-5,61,Never,Female,286
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,69,Never,Female,287
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,+1,28,Once a month,Male,288
No,Yes,No,No,No,Yes,No,No,No,No,No,+3,68,Once a month,Male,289
No,No,No,Yes,No,Yes,Yes,No,No,No,No,-4,60,Never,Male,290
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,0,56,Once a year,Female,291
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,61,Once a year,Female,292
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,61,Once a week,Male,293
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,63,Once a year,Male,294
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,40,Once a month,Female,295
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-1,36,Every three months,Male,296
Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+1,30,Once a month,Female,297
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,32,Once a month,Female,298
Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,37,More than once a week,Male,299
Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,+3,61,Once a week,Male,300
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,34,Once a month,Female,301
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,24,Once a month,Male,302
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+1,39,Once a month,Male,303
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,50,Every three months,Male,304
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+1,46,Once a month,Male,305
Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+2,43,Once a month,Female,306
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,36,Once a month,Male,307
Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,I hate it!-5,26,Once a week,Male,308
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,32,Once a month,Female,309
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,50,Never,Female,310
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,56,Once a year,Female,311
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,57,Every three months,Female,312
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,25,Once a year,Male,313
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,47,Once a month,Female,314
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,32,Once a year,Male,315
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,32,Once a week,Female,316
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,57,Every three months,Female,317
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,42,Once a week,Male,318
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,31,Once a week,Male,319
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-3,37,Once a year,Female,320
Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,+3,33,Every three months,Female,321
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,-1,46,Every three months,Female,322
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,41,Every three months,Female,323
No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,-1,60,Every three months,Male,324
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,42,Once a month,Male,325
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,45,Once a month,Female,326
Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,36,Every three months,Male,327
Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,+2,44,Once a month,Male,328
Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,+1,34,Once a month,Male,329
Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,22,Every three months,Male,330
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,64,Every three months,Male,331
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,36,Once a month,Male,332
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a month,Male,333
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-4,69,Every three months,Female,334
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,I hate it!-5,64,Never,Female,335
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,53,Every three months,Male,336
No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,-4,40,Never,Female,337
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,56,Every three months,Female,338
No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,+2,48,Once a week,Female,339
Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,62,Once a month,Female,340
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,65,Every three months,Female,341
Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+4,34,Once a month,Male,342
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,I hate it!-5,27,Never,Female,343
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,25,Every three months,Male,344
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-1,55,Once a year,Female,345
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,38,Once a week,Female,346
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+1,52,Once a month,Female,347
Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,+3,36,Once a month,Male,348
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,36,Once a month,Male,349
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,52,Once a month,Female,350
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,I love it!+5,49,Once a week,Female,351
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+2,58,Once a month,Female,352
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+3,67,Once a month,Female,353
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+1,56,Every three months,Female,354
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+2,43,Once a week,Female,355
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,43,Once a week,Female,356
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,23,Every three months,Female,357
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+1,29,Once a week,Male,358
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,32,Once a year,Male,359
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+1,35,Once a week,Female,360
Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,+2,46,Once a week,Male,361
No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,55,Once a month,Female,362
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,45,Once a week,Female,363
Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,+2,39,Every three months,Male,364
No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-3,52,Once a year,Male,365
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,53,Once a month,Female,366
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,+3,44,Once a month,Male,367
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,55,Once a year,Female,368
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,21,More than once a week,Female,369
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+1,48,Once a month,Male,370
Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,+3,57,Once a month,Female,371
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,26,Once a week,Male,372
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+2,52,Once a month,Female,373
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,28,Once a week,Male,374
No,Yes,No,No,No,Yes,No,Yes,No,No,No,+2,58,Once a month,Male,375
Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,I love it!+5,34,Once a month,Male,376
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,39,Every three months,Male,377
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,20,Once a month,Male,378
No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,0,61,Once a year,Female,379
Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,+4,35,Once a week,Male,380
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,27,Never,Male,381
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,50,Once a month,Female,382
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,58,Once a month,Female,383
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,29,Once a month,Female,384
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,23,Once a week,Male,385
Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,+2,47,Every three months,Male,386
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,58,Every three months,Female,387
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,49,Once a month,Female,388
Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,+1,27,Once a month,Female,389
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,20,More than once a week,Female,390
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,0,43,Every three months,Male,391
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,0,62,Every three months,Female,392
No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,55,Once a year,Female,393
No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-3,62,Once a year,Female,394
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,56,Once a year,Female,395
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,60,Never,Male,396
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,42,Once a month,Female,397
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,26,Once a week,Female,398
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,55,Once a year,Female,399
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,42,Once a week,Male,400
No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,67,Once a year,Female,401
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,43,Once a week,Male,402
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,42,Once a month,Female,403
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,50,Once a week,Female,404
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,20,Once a year,Female,405
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,50,Never,Male,406
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,60,Once a year,Male,407
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,21,Never,Male,408
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,33,Once a month,Male,409
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,68,Every three months,Female,410
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,26,Once a month,Male,411
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,60,Once a month,Female,412
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,52,Every three months,Female,413
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+4,70,Every three months,Female,414
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,44,Once a year,Female,415
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,23,Every three months,Female,416
No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,-1,62,Every three months,Female,417
No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+2,59,Once a week,Female,418
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,66,Once a week,Female,419
No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,+1,44,Once a month,Male,420
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,25,Once a month,Male,421
Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,+3,41,Once a month,Male,422
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,41,More than once a week,Male,423
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,33,Once a week,Male,424
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,45,Once a month,Female,425
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,23,More than once a week,Female,426
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,52,Once a year,Female,427
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,63,Once a month,Female,428
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+4,48,Once a month,Female,429
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I hate it!-5,52,Never,Male,430
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,50,Never,Male,431
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,+2,28,Once a month,Male,432
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,24,Once a month,Male,433
No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,45,Once a week,Female,434
Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,+2,26,Every three months,Female,435
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,+1,19,Every three months,Male,436
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,45,Every three months,Male,437
No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,+1,44,Every three months,Male,438
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+2,47,Once a month,Male,439
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,28,Once a month,Male,440
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,62,Every three months,Female,441
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,-1,33,Once a week,Male,442
Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,+3,67,Every three months,Female,443
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+1,67,Once a year,Female,444
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,+2,49,Once a month,Male,445
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,33,Once a week,Female,446
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,51,More than once a week,Female,447
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,52,Once a week,Female,448
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I love it!+5,30,More than once a week,Male,449
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,60,Once a month,Female,450
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,47,Every three months,Female,451
No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+2,44,Once a month,Male,452
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,43,Every three months,Female,453
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,46,Once a month,Male,454
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+1,40,Once a month,Female,455
No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,48,Once a year,Female,456
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,53,Once a month,Female,457
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,35,Every three months,Male,458
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,51,Every three months,Male,459
Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,+2,26,Once a month,Male,460
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-2,46,Every three months,Female,461
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,39,Once a month,Female,462
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,38,Once a year,Male,463
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,40,Once a month,Female,464
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,36,Once a month,Female,465
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,56,Never,Female,466
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a month,Female,467
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,39,Once a month,Female,468
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,22,Every three months,Female,469
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+3,27,Once a month,Male,470
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,23,Every three months,Female,471
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,21,Every three months,Female,472
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+3,33,Every three months,Male,473
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,24,Never,Female,474
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,22,More than once a week,Female,475
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,54,Every three months,Female,476
No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,56,Every three months,Female,477
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,20,Once a month,Male,478
Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,+4,41,Once a month,Female,479
No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,+4,70,Once a month,Male,480
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,54,Once a month,Female,481
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+3,23,Once a month,Male,482
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,61,Once a month,Female,483
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+1,52,Once a week,Female,484
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,61,Once a week,Female,485
No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,-2,66,Every three months,Female,486
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,40,Once a month,Female,487
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I love it!+5,26,Never,Male,488
No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,+2,32,Once a month,Male,489
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-2,60,Every three months,Male,490
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,38,Once a month,Male,491
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,29,Every three months,Male,492
No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,69,Never,Male,493
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,64,Once a year,Male,494
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,I hate it!-5,40,Never,Male,495
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,42,Once a month,Male,496
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I hate it!-5,64,Once a month,Female,497
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I love it!+5,22,Once a week,Male,498
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,57,Every three months,Female,499
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,28,Every three months,Female,500
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,41,Once a month,Female,501
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,56,More than once a week,Male,502
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,50,Once a month,Female,503
No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,68,Never,Male,504
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,I hate it!-5,62,Once a year,Male,505
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,58,Every three months,Female,506
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,47,More than once a week,Male,507
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+3,35,Once a month,Female,508
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+4,58,Once a month,Male,509
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,21,Once a week,Female,510
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,53,Every three months,Female,511
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,38,Once a month,Female,512
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,59,Once a month,Male,513
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,39,Once a week,Female,514
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+2,36,Every three months,Female,515
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,26,More than once a week,Female,516
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-1,53,Once a week,Male,517
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,64,Once a month,Female,518
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,-3,56,Every three months,Female,519
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,65,Never,Male,520
No,No,No,No,Yes,No,No,No,No,No,Yes,I hate it!-5,40,Never,Male,521
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,68,Once a month,Male,522
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,65,More than once a week,Male,523
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,52,Once a month,Female,524
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,37,Once a year,Female,525
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,32,Once a year,Male,526
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,51,Once a week,Female,527
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,52,Every three months,Female,528
Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,+4,57,Every three months,Female,529
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,55,Every three months,Female,530
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,38,Once a month,Female,531
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,44,Once a week,Female,532
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,56,Once a year,Female,533
No,Yes,No,Yes,Yes,No,No,No,No,No,No,+1,67,Once a year,Female,534
Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,+3,43,Once a month,Female,535
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,39,Every three months,Male,536
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,27,Once a week,Female,537
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+1,29,Once a year,Female,538
No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,-1,24,Once a year,Male,539
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,37,Every three months,Male,540
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,22,Once a month,Female,541
No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,-2,55,Never,Female,542
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,50,Once a year,Male,543
Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,+1,26,Once a month,Male,544
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,55,Every three months,Female,545
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,48,Once a month,Female,546
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,25,Once a week,Female,547
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+4,32,More than once a week,Male,548
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,28,Every three months,Female,549
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,52,Once a year,Female,550
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,30,Once a week,Male,551
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-2,52,Once a year,Female,552
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,55,Once a month,Female,553
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,35,Once a year,Female,554
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,29,Once a week,Male,555
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,55,Once a year,Male,556
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+1,50,Every three months,Female,557
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,34,Once a week,Male,558
